"","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking"
"1",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"2",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"3",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"4",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"5",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"6",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"7",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"8",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"9",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"10",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"11",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"12",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"13",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"14",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"15",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"16",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"17",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"18",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"19",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"20",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"21",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"22",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"23",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"24",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"25",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"26",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"27",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"28",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"29",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"30",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"31",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"32",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"33",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"34",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"35",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"36",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"37",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"38",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"39",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"40",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"41",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"42",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"43",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"44",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"45",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"46",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"47",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"48",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"49",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"50",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"51",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"52",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"53",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"54",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"55",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"56",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"57",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"58",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"59",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"60",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"61",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"62",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"63",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"64",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"65",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"66",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"67",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"68",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"69",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"70",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"71",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"72",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"73",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"74",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"75",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"76",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"77",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"78",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"79",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"80",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"81",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"82",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"83",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"84",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"85",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"86",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"87",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"88",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"89",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"90",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"91",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"92",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"93",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"94",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"95",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"96",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"97",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"98",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"99",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"100",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"101",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"102",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"103",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"104",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"105",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"106",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"107",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"108",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"109",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"110",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"111",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"112",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"113",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"114",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"115",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"116",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"117",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"118",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"119",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"120",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"121",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"122",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"123",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"124",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"125",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"126",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"127",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"128",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"129",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"130",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"131",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"132",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"133",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"134",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"135",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"136",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"137",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"138",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"139",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"140",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"141",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"142",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"143",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"144",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"145",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"146",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"147",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"148",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"149",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"150",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"151",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"152",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"153",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"154",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"155",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"156",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"157",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"158",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"159",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"160",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"161",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"162",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"163",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"164",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"165",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"166",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"167",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"168",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"169",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"170",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"171",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"172",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"173",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"174",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"175",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"176",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"177",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"178",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"179",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"180",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"181",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"182",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"183",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"184",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"185",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"186",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"187",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"188",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"189",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"190",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"191",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"192",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"193",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"194",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"195",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"196",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"197",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"198",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"199",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"200",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"201",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"202",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"203",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"204",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"205",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"206",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"207",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"208",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"209",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"210",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"211",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"212",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"213",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"214",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"215",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"216",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"217",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"218",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"219",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"220",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"221",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"222",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"223",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"224",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"225",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"226",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"227",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"228",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"229",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"230",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"231",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"232",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"233",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"234",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"235",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"236",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"237",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"238",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"239",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"240",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"241",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"242",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"243",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"244",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
